en;zhHK;hint;jyutping
hello;你好;greeting;nei5 hou2 {nǐ hǎo}
Wake up please;快d 起身啦 babe;fai d = a bit;Fai d hey sun la
(So/very) sleepy ;(好)眼瞓;;(Ho) ngaan5 fan3 {yǎn xùn}
Good morning ;早晨;;zou2 san4 {zǎo chén}
"Good afternoon (formal; say hi for informal)";午安;;ng5 on1 {wǔ ān}
"Good evening (formal; say hi for informal)";晚安;;maan5 on1 {wǎn ān}
Good night (sleep early);早抖;;Jo dau2
How are you?;你好嗎？;;Nei5 hou2 ma?
Good Bye (quite formal);再見;;zoi3 gin3 {zài jiàn}
See you next time;下次見;;haa6 ci3 gin3 {xià cì jiàn}
Let's catch up (yum cha) sometime. [go yum cha rather than get a coffee to catch up~];得閒飲茶;;dak1 haan4 jam2 caa4 {dé jiān yǐn chá}
I am fine ;我幾好;;Ngo gei2 hou2
